character_style	character:SElI character:samprawIka style:SElI
character_tape	character:samprawIka character:samprawIka tape:tepa
chart_making	chart:saFciwra making:nirmANa
check_bus	check:jAzca bus:basa
check_card	check:jAzca card:pawraka
check_character	check:jAzca character:samprawIka character:samprawIka
check_code	check:jAzca code:kUta
check_condition	check:prawibanXa condition:prawibanXa
check_digit	check:jAzca digit:afka
check_indicator	check:jAzca indicator:sUcaka
check_indicator_instruction	check:jAzca indicator:sUcaka instruction:anuxeSa
check_key	check:jAzca key:kuFjI
check_point	check:jAzca point:biMxu
check_point_dump	check:jAzca point:biMxu dump:sannikRepa
check_problem	check:jAzca problem:samasyA
check_row	check:jAzca row:pafkwi
check_solution	check:jAzca solution:hala
check_sum	check:jAzca sum:yoga
check_total	check:jAzca total:joda
check_word	check:jAzca word:Sabxa
chip_carrier	chip:cipa carrier:vAhaka
chip_process	chip:cipa process:prakrama
choice_device	choice:cayana device:yukwi
circuit_card	circuit:paripaWa card:pawraka
circuit_grade	circuit:paripaWa grade:koti
circuit_load	circuit:paripaWa load:loda
circuit_order	circuit:paripaWa order:AxeSa
circuit_reliability	circuit:paripaWa reliability:viSvasanIyawA
circuit_switch	circuit:paripaWa switch:svica
circuit_unit_assembly	circuit:paripaWa unit:ekaka assembly:kodAnwaraNa
circular_buffering	circular:vqwwIya buffering:cayakana
clear_channel	clear:spaRta channel:praNAla
clear_data	clear:spaRta data:Azkade
clear_session	clear:spaRta session:sawra
cluster_analysis	cluster:gucCa analysis:viSleRaNa
cluster_controller	cluster:gucCa controller:niyanwraka
cobol_character	cobol:kobola character:samprawIka character:samprawIka
code_area	code:kUta area:kRewra
code_chain	code:kUta chain:SqfKalA
code_check	code:kUta check:jAzca
code_element	code:kUta element:avayava
code_extension_character	code:kUta extension:viswAra character:samprawIka character:samprawIka
code_frame	code:kUta frame:Prema
code_key	code:kUta key:kuFjI
code_level	code:kUta level:swara
code_line	code:kUta line:reKA
code_line_index	code:kUta line:reKA index:sUcaka
code_point_translator	code:kUta point:biMxu translator:anuvAxaka
code_position	code:kUta position:sWiwi
code_set	code:kUta set:samuccaya
code_value	code:kUta value:mAna
code_word	code:kUta word:Sabxa
